name,Team,team_id,league,league_rank,player_code,position,rtg_adj,mv_adj,ga_adj,gap90_adj,talent_score
Adrian Rebollar,Monterey Bay Fc,915808,USLC,63.7,arebollar,Attacking Midfielder,0.46528208708242835,0.3582260316475333,0.03088155445237356,0.15646654255869272,0.2643461061123177
Adrien Perez,Louisville City Fc,614316,USLC,63.7,aperez,Right Winger,0.15646654255869272,0.5126338039094012,0.45292946530147893,0.45292946530147893,0.3759314562002275
Aedan Stanley,Indy Eleven,514649,USLC,63.7,astanley,Left Back,0.23881735443168886,0.6258661702347709,0.1441139207777433,0.21617088116661493,0.29049248888199397
Agustin Ojeda,New York City Fc,546238,MLS,78.31,aojeda,Left Winger,0.12193316205702345,0.8004322089872346,0.10423318691971359,0.053099925411929566,0.23344300542207552
Ahmad Al-Qaq,North Carolina Fc,162185,USLC,63.7,aalqaq,Left Midfielder,0.10499728513807012,0.03705786534284828,0.12764375840314407,0.03499909504602337,0.07493923880442652
Ahmed Qasem,Nashville Sc,915807,MLS,78.31,aqasem,Left Winger,0.21633302945600932,0.7099656693965397,0.3323661998005962,0.324499544184014,0.3707161459314342
Aidan O'Toole,Pittsburgh Riverhounds Sc,267816,USLC,63.7,ao'toole,Right Winger,0.12764375840314407,0.03705786534284828,0.08029204157617126,0.02470524356189885,0.06917468197331678
Aidan Rocha,Colorado Springs Switchbacks Fc,614321,USLC,63.7,arocha,Defensive Midfielder,0.44469438411417933,0.15646654255869272,0.42616545144275514,0.4035189781776812,0.37099040748784773
Aiden McFadden,Louisville City Fc,614316,USLC,63.7,amcfadden,Right Midfielder,0.387048815803082,0.3582260316475333,0.64645387320302,0.6341012514220705,0.5072810011376564
Aiden Mesias,Forward Madison Fc,1004919,USL1,56.19,amesias,Central Midfielder,0.09657720922238318,0.2069511626193925,0.14256635647113705,0.09197829449750777,0.1264701549340732
Ajani Fortune,Atlanta United Fc,773958,MLS,78.31,afortune,Central Midfielder,0.3697328139793614,0.4031661003498356,0.26549962705964786,0.22026635726430044,0.3107328968549953
Akeem Ward,Colorado Springs Switchbacks Fc,614321,USLC,63.7,award,Left Back,0.0494104871237977,0.3582260316475333,0.33146201778880957,0.33969709897610917,0.25466988571724064
Akil Watts,St Louis City Sc,1427963,MLS,78.31,awatts,Right Midfielder,0.149466456715061,0.09833319520727697,0.3579328305544882,0.3933327808291079,0.2540929764156037
Albert Dikwa,Rhode Island Fc,1597140,USLC,63.7,adikwa,Striker,0.5023399524252766,0.6258661702347709,0.5476328989554246,0.5373390474713,0.5466035138070121
Albert Rusnak,Seattle Sounders Fc,130394,MLS,78.31,arusnak,Attacking Midfielder,0.8063322006996712,0.7099656693965397,0.824032175836981,0.8141988563162533,0.7929588861514816
Aldair Sanchez,Rhode Island Fc,1597140,USLC,63.7,asanchez,Left Wing-Back,0.5126338039094012,0.25528751680628814,0.1976419484951908,0.26352259799358774,0.3234328136311925
Alejandro Mitrano,Miami Fc,721896,USLC,63.7,amitrano,Left Back,0.5517504395490743,0.15646654255869272,0.5723381425173234,0.6155723187506463,0.4959577645051194
Aleksandr Guboglo,Club De Foot Montreal,161195,MLS,78.31,aguboglo,Right Midfielder,0.2517329797306291,0.15143312061920655,0.14159980109847886,0.09046653959069482,0.16126644013993424
Aleksey Miranchuk,Atlanta United Fc,773958,MLS,78.31,amiranchuk,Attacking Midfielder,0.5172326067902768,0.8771321012489106,0.04129994198705633,0.13176648157775114,0.3783861351576018
Alex Crognale,San Antonio Fc,722269,USLC,63.7,acrognale,Center Back,0.5455741286585996,0.6093960078601717,0.16881916433964214,0.300580463336436,0.40948941203847344
Alex Freeman,Orlando City Sc,267810,MLS,78.31,afreeman,Right Back,0.8495988065908731,0.025566630753892015,0.8358321592618543,0.7827322338499247,0.6619790701353886
Alex Greive,San Antonio Fc,722269,USLC,63.7,agreive,Striker,0.343814639569759,0.6258661702347709,0.2038182593856655,0.11734990691901953,0.30428624987072084
Alex Mighten,San Diego Fc,1701119,MLS,78.31,amighten,Right Winger,0.33039953589645066,0.15143312061920655,0.6627657356970468,0.7748655782333426,0.4944193055021886
Alex Muyl,Nashville Sc,915807,MLS,78.31,amuyl,Right Winger,0.49559930384467593,0.4719993369949295,0.4287327311037276,0.4346327228161642,0.45921602161798347
Alex Roldan,Seattle Sounders Fc,130394,MLS,78.31,aroldan,Right Back,0.597865826860244,0.751265611383596,0.5368992458317322,0.5329659180234412,0.5968824949081712
Alex Villanueva,Detroit City Fc,540855,USLC,63.7,avillanueva,Left Back,0.5517504395490743,0.5126338039094012,0.6299837108284206,0.5908670751887475,0.5713087573689108
Alexander Dalou,Fc Tulsa,614325,USLC,63.7,adalou,Left Winger,0.6567477246871444,0.15646654255869272,0.41587159995863066,0.4117540593649809,0.43501816371910224
Alexander Hack,New York Red Bulls,6514,MLS,78.31,ahack,Center Back,0.6391657688473004,0.3520328388420516,0.7138989972048309,0.8102655285079623,0.6480157564159552
Alexandros Katranis,Real Salt Lake City,6606,MLS,78.31,akatranis,Left Back,0.4346327228161642,0.3048329051425586,0.3697328139793614,0.3874327891166713,0.3815327974042347
Alexandros Tambakis,New Mexico United,1003208,USLC,63.7,atambakis,Keeper,0.43028299203640497,0.15646654255869272,0.07617450098252146,0.16470162374599231,0.225023593442962
Alexis Souahy,San Antonio Fc,722269,USLC,63.7,asouahy,Center Back,0.04529294653014789,0.3582260316475333,0.4879285603475023,0.514692574206226,0.3372265746199193
Alfredo Morales,St Louis City Sc,1427963,MLS,78.31,amorales,Defensive Midfielder,0.07669989226167603,0.035399950274619715,0.43266605891201865,0.42479940329543653,0.24406299050446145
Alhassan Yusuf,New England Revolution,6580,MLS,78.31,ayusuf,Defensive Midfielder,0.772898914329197,0.670632391313629,0.04129994198705633,0.11603317034458682,0.4090660920622722
Ali Ahmed,Vancouver Whitecaps Fc,307691,MLS,78.31,aahmed,Left Winger,0.6352324410390092,0.670632391313629,0.721765652821413,0.7551989391918872,0.6956090228962772
Aljaz Ivacic,New England Revolution,6580,MLS,78.31,aivacic,Keeper,0.721765652821413,0.18289974308553517,0.8692654456323284,0.8672987817281829,0.6871523681084515
Allen Gavilanes,Miami Fc,721896,USLC,63.7,agavilanes,Right Winger,0.37057865342848273,0.5126338039094012,0.5641030613300237,0.5764556831109732,0.49945767400972174
Almir Soto,San Antonio Fc,722269,USLC,63.7,asoto,Defensive Midfielder,0.44469438411417933,0.15646654255869272,0.08029204157617126,0.20587702968249044,0.24252314096597372
Alonso Coello,Toronto Fc,56453,MLS,78.31,acoello,Defensive Midfielder,0.5231325985027135,0.23403300459331922,0.4582326896659107,0.4582326896659107,0.4328627253024332
Alonso Martinez,New York City Fc,546238,MLS,78.31,amartinez,Striker,0.772898914329197,0.8004322089872346,0.8043655367955256,0.747332283575305,0.7770289085279026
Alvaro Quezada,El Paso Locomotive Fc,1003209,USLC,63.7,aquezada,Right Back,0.5393978177681249,0.15646654255869272,0.5393978177681249,0.5949846157823974,0.4794876021305202
Alvas Elvis Powell,Fc Cincinnati,722265,MLS,78.31,apowell,Center Back,0.0648999088368028,0.15143312061920655,0.3874327891166713,0.29696624952597644,0.21633302945600932
Amadou Dia,Louisville City Fc,614316,USLC,63.7,adia,Left Midfielder,0.5393978177681249,0.3582260316475333,0.1976419484951908,0.17293670493329197,0.32487395283896986
Amahl Pellegrino,San Jose Earthquakes,6603,MLS,78.31,apellegrino,Left Winger,0.11013317863215022,0.09833319520727697,0.7492989474794505,0.8574654622074552,0.4598060207892271
Amando Moreno,El Paso Locomotive Fc,1003209,USLC,63.7,amoreno,Left Winger,0.6917468197331679,0.5126338039094012,0.6629240355776191,0.5991021563760471,0.6223662607301685
Amine Bassi,Houston Dynamo Fc,8259,MLS,78.31,abassi,Attacking Midfielder,0.47003267309078395,0.7827322338499247,0.005899991712436619,0.023599966849746475,0.3058162370946314
Amos Shapiro-Thompson,Rhode Island Fc,1597140,USLC,63.7,ashapirothompson,Defensive Midfielder,0.32940324749198463,0.012352621780949424,0.1914656376047161,0.13382006929361878,0.17973064691281412
Anders Dreyer,San Diego Fc,1701119,MLS,78.31,adreyer,Right Winger,0.8849987568654928,0.8672987817281829,0.8397654870701454,0.7905988894665068,0.8440921476592655
Anderson Julio,Fc Dallas,6399,MLS,78.31,ajulio,Striker,0.5231325985027135,0.670632391313629,0.2831996021969577,0.29499958562183093,0.4362060539394807
Andre Blake,Philadelphia Union,191716,MLS,78.31,ablake,Keeper,0.6135991380934083,0.23403300459331922,0.6371991049431548,0.6096658102851172,0.5412259064208524
Andre Lewis,Spokane Velocity Fc,1584038,USL1,56.19,alewis,Defensive Midfielder,0.49668279028654205,0.4828860461119158,0.2897316276671495,0.32192403074127723,0.40010558106415883
Andreas Maxsø,Colorado Rapids,8314,MLS,78.31,amaxso,Center Back,0.2517329797306291,0.4719993369949295,0.5958991629560985,0.54673256535246,0.45311936351513227
Andres Ferrin,Fc Naples,1701877,USL1,56.19,aferrin,Left Winger,0.5150784491860436,0.2069511626193925,0.19315441844476636,0.2667370540427726,0.3145657671814766
Andres Perea,New York City Fc,546238,MLS,78.31,aperea,Central Midfielder,0.0648999088368028,0.5073992872695492,0.46609934528249286,0.4916659760363849,0.36166949197236475
Andrew Gutman,Chicago Fire Fc,6397,MLS,78.31,agutman,Left Back,0.5644325404897699,0.22223302116844595,0.8476321426867275,0.8338654953577087,0.6334624435252783
Andrew Privett,Charlotte Fc,1323940,MLS,78.31,aprivett,Center Back,0.28123293829281215,0.3048329051425586,0.8181321841245445,0.7866655616582158,0.5449625678387291
Andrés Cubas,Vancouver Whitecaps Fc,307691,MLS,78.31,acubas,Central Midfielder,0.6824323747385023,0.751265611383596,0.20649970993528163,0.2517329797306291,0.4718026706045149
Andy Nájar,Nashville Sc,915807,MLS,78.31,anajar,Right Back,0.8141988563162533,0.09833319520727697,0.751265611383596,0.7079990054923941,0.6265791198607689
Angelo Calfo,Texoma Fc,1701884,USL1,56.19,acalfo,Center Back,0.0413902325238785,0.013796744174626167,0.2023522478945171,0.18395658899501555,0.11083384486949688
Angelo Kelly-Rosales,One Knoxville Sc,1358088,USL1,56.19,akellyrosales,Central Midfielder,0.22534682151889404,0.2069511626193925,0.41850123996366045,0.4644903872124143,0.3320416431360031
Anibal Godoy,San Diego Fc,1701119,MLS,78.31,agodoy,Central Midfielder,0.8063322006996712,0.035399950274619715,0.6981656859716665,0.6588324078887557,0.5862625098257853
Anthony Fontana,Colorado Springs Switchbacks Fc,614321,USLC,63.7,afontana,Attacking Midfielder,0.0988209742475954,0.6258661702347709,0.44263561381735445,0.44675315441100416,0.37737259540800494
Anthony Markanich,Minnesota United Fc,207242,MLS,78.31,amarkanich,Left Wing-Back,0.6470324244638825,0.15143312061920655,0.768965586520906,0.8181321841245445,0.6236291240045506
Anthony Sorenson,Charlotte Independence,614315,USL1,56.19,asorenson,Left Back,0.4506936430377881,0.30352837184177567,0.41850123996366045,0.4276990694134111,0.40792373609644705
Anton Søjberg Horup,Monterey Bay Fc,915808,USLC,63.7,ahorup,Striker,0.6505714137966697,0.5126338039094012,0.5743969128141483,0.5785144534077981,0.5861319035060502
Antony,Portland Timbers,307690,MLS,78.31,aantony,Left Winger,0.8692654456323284,0.751265611383596,0.029499958562183095,0.09833319520727697,0.4464327062410374
Anuar Pelaez,Spokane Velocity Fc,1584038,USL1,56.19,apelaez,Striker,0.5656665111596729,0.2069511626193925,0.6346502320328037,0.6300513173079283,0.5270356274707195
Aodhan Quinn,Indy Eleven,514649,USLC,63.7,aquinn,Central Midfielder,0.6279249405315958,0.0988209742475954,0.5538092098458992,0.5249864256903506,0.4763994466852828
Ariath Piol,Real Salt Lake City,6606,MLS,78.31,apiol,Striker,0.011799983424873237,0.15143312061920655,0.015733311233164318,0.009833319520727699,0.03992327725415445
Ariel Lassiter,Portland Timbers,307690,MLS,78.31,alassiter,Left Midfielder,0.03343328637047417,0.18289974308553517,0.298932913430122,0.08259988397411266,0.13117648240650748
Arthur Rogers,Fc Tulsa,614325,USLC,63.7,arogers,Center Back,0.7061582118109422,0.5126338039094012,0.44263561381735445,0.44881192470782905,0.5375449245009825
Artur,Houston Dynamo Fc,8259,MLS,78.31,aartur,Defensive Midfielder,0.4877326482280938,0.670632391313629,0.19666639041455394,0.30679956904670413,0.41181942152807594
Arturo Ordonez,Louisville City Fc,614316,USLC,63.7,aordonez,Center Back,0.5908670751887475,0.6258661702347709,0.3026392336332609,0.3417558692729341,0.4654879641121108
Arturo Ortiz,El Paso Locomotive Fc,1003209,USLC,63.7,aortiz,Center Back,0.664982805874444,0.6258661702347709,0.6896880494363429,0.6855705088426931,0.6682768383493638
Arturo Rodriguez,Tampa Bay Rowdies,162183,USLC,63.7,arodriguez,Attacking Midfielder,0.7205696038887164,0,0.4693996276760781,0.6546889543903195,0.5064574930189263
Ashley Westwood,Charlotte Fc,1323940,MLS,78.31,awestwood,Central Midfielder,0.7709322504250514,0.15143312061920655,0.2438663241140469,0.34809951103376047,0.4147694173842942
Ashton Miles,Orange County Sc,267813,USLC,63.7,amiles,Center Back,0.04529294653014789,0.25528751680628814,0.3891075860999069,0.364402342538008,0.2517876073016858
Augustine Williams,Pittsburgh Riverhounds Sc,267816,USLC,63.7,awilliams,Striker,0.059704338607922215,0.5126338039094012,0.01029385148412452,0.02058770296824904,0.1286731435515565
Austin Pack,South Georgia Tormenta Fc,727430,USL1,56.19,apack,Keeper,0.09197829449750777,0.4828860461119158,0.06438480614825545,0.12417069757163551,0.17429886807277722
Azaad Liadi,Portland Hearts Of Pine,1701883,USL1,56.19,aliadi,Striker,0.2897316276671495,0.2069511626193925,0.47368821666216504,0.5058806197362927,0.3748115500773441
Aziel Jackson,Columbus Crew Sc,6001,MLS,78.31,ajackson,Attacking Midfielder,0.35006617493790604,0.5073992872695492,0.40119943644569006,0.3952994447332534,0.4053294306443957
Babacar Diene,One Knoxville Sc,1358088,USL1,56.19,bdiene,Striker,0.01839565889950156,0.2069511626193925,0.33572077491590335,0.2805337982173987,0.19821322464212926
Baboucarr Njie,Oakland Roots Sc,1130413,USLC,63.7,bnjie,Left Winger,0.387048815803082,0.15646654255869272,0.04735171682697279,0.07411573068569656,0.17911301582376668
Bachir Ndiaye,Charlotte Independence,614315,USL1,56.19,bndiaye,Defensive Midfielder,0.46908930193728965,0.30352837184177567,0.0873793797726324,0.14716527119601247,0.2630579222628723
Bartosz Slisz,Atlanta United Fc,773958,MLS,78.31,bslisz,Central Midfielder,0.5349325819275867,0.8004322089872346,0.26549962705964786,0.2930329217176854,0.46157601830295814
Beau Leroux,San Jose Earthquakes,6603,MLS,78.31,bleroux,Central Midfielder,0.8063322006996712,0.09833319520727697,0.7650322587126148,0.7315989723421407,0.634052442696522
Ben Morris,Detroit City Fc,540855,USLC,63.7,bmorris,Striker,0.15234900196504292,0.5126338039094012,0.20999457027614024,0.23264104354121418,0.2600226884889854
Ben Zakowski,Greenville Triumph Sc,1004920,USL1,56.19,bzakowski,Right Winger,0.3495175190905296,0.30352837184177567,0.5702654258845482,0.5932599995089252,0.4575920151251012
Benjamin Barjolo,Orange County Sc,267813,USLC,63.7,bbarjolo,Right Winger,0.004117540593649808,0.15646654255869272,0.29028661185231147,0.03911663563967318,0.10232088375219774
Benjamin Cremaschi,Inter Miami Cf,960720,MLS,78.31,bcremaschi,Central Midfielder,0.4346327228161642,0.8004322089872346,0.0648999088368028,0.06096658102851173,0.32174621471821024
Benjamin Lundt,St Louis City Sc,1427963,MLS,78.31,blundt,Keeper,0.4306993950078732,0.035399950274619715,0.43266605891201865,0.4365993867203098,0.3538028363557826
Benjamin Mines,Loudoun United Fc,1003205,USLC,63.7,bmines,Right Midfielder,0.46528208708242835,0.3582260316475333,0.5023399524252766,0.4982224118316268,0.4611645464887785
Benjamin Ofeimu,Indy Eleven,514649,USLC,63.7,bofeimu,Center Back,0.08235081187299616,0.25528751680628814,0.35410849105388353,0.3479321801634088,0.2509640991829558
Bernard Kamungo,Fc Dallas,6399,MLS,78.31,bkamungo,Left Winger,0.149466456715061,0.3520328388420516,0.27336628267623,0.0943998673989859,0.1982397215378704
Besard Sabovic,Austin Fc,1218886,MLS,78.31,bsabovic,Defensive Midfielder,0.33039953589645066,0.4031661003498356,0.4287327311037276,0.43266605891201865,0.39529944473325346
Beverly Makangila,Hartford Athletic,1003206,USLC,63.7,bmakangila,Defensive Midfielder,0.06382187920157203,0.15646654255869272,0.23881735443168886,0.21822965146343984,0.16367223859757987
Bill Hamid,Miami Fc,721896,USLC,63.7,bhamid,Keeper,0.4776347088633777,0.03705786534284828,0.5908670751887475,0.5826319940014478,0.44366499896576683
Birk Risa,New York City Fc,546238,MLS,78.31,brisa,Center Back,0.17306642356480748,0.4031661003498356,0.5113326150778403,0.5152659428861313,0.3893994530208168
Blake Bodily,Tampa Bay Rowdies,197328,USLC,63.7,bbodily,Left Midfielder,0.11940867721584443,0.3582260316475333,0.04117540593649808,0.0494104871237977,0.1305260368186989
Blake Willey,Sacramento Republic Fc,521004,USLC,63.7,bwilley,Defensive Midfielder,0.16881916433964214,0.15646654255869272,0.23881735443168886,0.23469981383803906,0.20011247285138067
Bobosi Byaruhanga,Oakland Roots Sc,1130413,USLC,63.7,bbyaruhanga,Central Midfielder,0.5249864256903506,0.03705786534284828,0.4344005326300548,0.4364593029268797,0.3827253981797497
Bode Hidalgo,Real Salt Lake City,6606,MLS,78.31,bhidalgo,Right Back,0.17306642356480748,0.4031661003498356,0.27336628267623,0.26156629925135677,0.2656962934500624
Bolu Akinyode,Miami Fc,721896,USLC,63.7,bakinyode,Center Back,0.5023399524252766,0.3582260316475333,0.494104871237977,0.4838110197538525,0.4663114722308408
Bongokuhle Hlongwane,Minnesota United Fc,207242,MLS,78.31,bhlongwane,Right Wing-Back,0.6214657937099904,0.751265611383596,0.6922656942592299,0.6293324493265727,0.6639457340395342
Boris Enow,D C United,6602,MLS,78.31,benow,Defensive Midfielder,0.06096658102851173,0.4719993369949295,0.22616634897673707,0.21633302945600932,0.22282302033968965
Boubacar Diallo,Fc Tulsa,614325,USLC,63.7,bdiallo,Central Midfielder,0.5291039662840004,0.25528751680628814,0.02470524356189885,0.09470343365394558,0.2431407720550212
Brad Guzan,Atlanta United Fc,773958,MLS,78.31,bguzan,Keeper,0.17306642356480748,0.009833319520727699,0.8633654539198918,0.8515654704950186,0.4820293229060717
Brad Stuver,Austin Fc,1218886,MLS,78.31,bstuver,Keeper,0.6391657688473004,0.23403300459331922,0.8043655367955256,0.7178323250131219,0.6147791364358957
Bradley Sample,Pittsburgh Riverhounds Sc,267816,USLC,63.7,bsample,Central Midfielder,0.29028661185231147,0.15646654255869272,0.17499547523011685,0.09264466335712068,0.18117178612059157
Braian Ojeda,Real Salt Lake City,6606,MLS,78.31,bojeda,Defensive Midfielder,0.5014992955571126,0.751265611383596,0.26549962705964786,0.34219951932132386,0.4564626921521797
Brandon Fricke,Greenville Triumph Sc,1004920,USL1,56.19,bfricke,Center Back,0.1701598448203894,0.082780465047757,0.4093034105139096,0.3955066663392835,0.2681167284602352
Brandon McManus,Texoma Fc,1701884,USL1,56.19,bmcmanus,Striker,0.00459891472487539,0.013796744174626167,0.2023522478945171,0.17935767427014015,0.09841677511233332
Brandon Servania,D C United,6602,MLS,78.31,bservania,Central Midfielder,0.29696624952597644,0.23403300459331922,0.049166597603638486,0.04719993369949295,0.15988977540703236
Brandon Vazquez,Austin Fc,1218886,MLS,78.31,bvazquez,Striker,0.5349325819275867,0.8594321261116008,0.5781991878187885,0.5408325736400234,0.6102558094563609
Brandt Bronico,Charlotte Fc,1323940,MLS,78.31,bbronico,Central Midfielder,0.41496608377470884,0.4031661003498356,0.324499544184014,0.36383282226692476,0.37917280071926
Braudilio Rodrigues,Lexington Sc,1430405,USLC,63.7,brodrigues,Left Winger,0.47351716826972795,0.15646654255869272,0.6073372375633467,0.621748629641121,0.48134049539766255
Braxton Montgomery,Phoenix Rising Fc,424268,USLC,63.7,bmontgomery,Left Back,0.13999638018409347,0,0.34587340986658394,0.36646111283483296,0.2211119298789947
Brayan Ceballos,New England Revolution,6580,MLS,78.31,bceballos,Center Back,0.6922656942592299,0.4031661003498356,0.25763297144306563,0.3126995607591408,0.43364939086409143
Brayan Vera,Real Salt Lake City,6606,MLS,78.31,bvera,Center Back,0.4877326482280938,0.4031661003498356,0.5427992375441689,0.5565658848731877,0.5024826275091854
Brecc Evans,Fc Naples,1701877,USL1,56.19,bevans,Center Back,0.5472708522601712,0.4828860461119158,0.6208534878581775,0.5886610847840499,0.561527487907285
Brendan Hines-Ike,Austin Fc,1218886,MLS,78.31,bhinesike,Center Back,0.26156629925135677,0.23403300459331922,0.3087662329508497,0.3618661583627793,0.2955895847930746
Brent Kallman,Union Omaha,1121685,USL1,56.19,bkallman,Center Back,0.32192403074127723,0.2069511626193925,0.15636310064576323,0.15176418592088783,0.21476931765168064
Brian Anunga,Fc Cincinnati,722265,MLS,78.31,banunga,Defensive Midfielder,0.41496608377470884,0.22223302116844595,0.23599966849746476,0.2536996436347746,0.2922462561560272
Brian Gutierrez,Chicago Fire Fc,6397,MLS,78.31,bgutierrez,Central Midfielder,0.8633654539198918,0.751265611383596,0.8122321924121078,0.8259988397411265,0.8195088488574462
Brian White,Vancouver Whitecaps Fc,307691,MLS,78.31,bwhite,Striker,0.8731987734406196,0.7827322338499247,0.8358321592618543,0.8279655036452721,0.8340621617481234
Brooklyn Raines,Houston Dynamo Fc,8259,MLS,78.31,braines,Central Midfielder,0.2300996767850281,0.06096658102851173,0.34613284712961495,0.3185995524715774,0.24602965440860697
Brooks Lennon,Atlanta United Fc,773958,MLS,78.31,blennon,Right Back,0.35006617493790604,0.5998324907643895,0.11406650644044128,0.15339978452335207,0.2938195872793436
Brunallergene Etou,Pittsburgh Riverhounds Sc,267816,USLC,63.7,betou,Left Wing-Back,0.5126338039094012,0.25528751680628814,0.23264104354121418,0.2408761247285138,0.3236386906608749
Bruno Damiani,Philadelphia Union,191716,MLS,78.31,bdamiani,Striker,0.35006617493790604,0.5998324907643895,0.8279655036452721,0.8456654787825819,0.6442790949980787
Bruno Rendon,Indy Eleven,514649,USLC,63.7,brendon,Right Back,0.4982224118316268,0.3582260316475333,0.5970433860792222,0.6485126434998448,0.5350744001447926
Bruno Wilson,San Jose Earthquakes,6603,MLS,78.31,bwilson,Center Back,0.41496608377470884,0.23403300459331922,0.16323310404407976,0.1848664069896807,0.25940296895679665
Bryan Romero,Charlotte Fc,1003209,USLC,63.7,bromero,Center Back,0.2594050573999379,0.15646654255869272,0.10705605543489502,0.08235081187299616,0.15523128038059777
Bryce Duke,Club De Foot Montreal,161195,MLS,78.31,bduke,Attacking Midfielder,0.08849987568654927,0.5998324907643895,0.2143663655518638,0.12193316205702345,0.22596968258632247
Bryce Jamison,Orange County Sc,267813,USLC,63.7,bjamison,Right Winger,0.3149918554142103,0.7143932929982417,0.5991021563760471,0.6423363326093701,0.5498975462819319
Bryce Washington,North Carolina Fc,162185,USLC,63.7,bwashington,Center Back,0.3973426672872065,0.25528751680628814,0.03911663563967318,0.10293851484124522,0.20896518512772777
Caden Clark,Club De Foot Montreal,161195,MLS,78.31,cclark,Attacking Midfielder,0.0648999088368028,0.5073992872695492,0.021633302945600934,0.039333278082910796,0.1370764741189441
Cal Jennings,Charleston Battery,162183,USLC,63.7,cjennings,Attacking Midfielder,0.7185108335918915,0.7143932929982417,0.5991021563760471,0.5641030613300237,0.6474832583514323
Callum Johnson,One Knoxville Sc,1358088,USL1,56.19,cjohnson,Central Midfielder,0.2897316276671495,0.4828860461119158,0.38170992216465727,0.38170992216465727,0.37435165860485664
Callum Stretch,South Georgia Tormenta Fc,727430,USL1,56.19,cstretch,Center Back,0.09657720922238318,0.082780465047757,0.24834139514327103,0.2621381393178972,0.1738389766002897
Calvin Harris,Colorado Rapids,8314,MLS,78.31,charris,Right Winger,0.05113326150778403,0.18289974308553517,0.5270659263110046,0.6863657025467933,0.3632428230956811
Cameron Dunbar,Orange County Sc,267813,USLC,63.7,cdunbar,Left Winger,0.407636518771331,0.3582260316475333,0.6814529682490432,0.7040994415141172,0.5414565880649498
Cameron Harper,New York Red Bulls,6514,MLS,78.31,charper,Right Midfielder,0.40709942815812666,0.23206634068917364,0.6155658019975538,0.6981656859716665,0.5011059627762834
Cameron MacPherson,Tampa Bay Rowdies,197328,USLC,63.7,cmacpherson,Central Midfielder,0.29028661185231147,0.6855705088426931,0.3067567742269107,0.3149918554142103,0.38004899679387727
Carl Sainte,Phoenix Rising Fc,424268,USLC,63.7,csainte,Center Back,0.02470524356189885,0.15646654255869272,0.150290231668218,0.2038182593856655,0.12990840572965145
Carles Gil,New England Revolution,6580,MLS,78.31,cgil,Attacking Midfielder,0.8889320846737838,0.5998324907643895,0.743398955767014,0.6843990386426477,0.7406456263012101
Carlos Avilez,Av Alta Fc,1701876,USL1,56.19,cavilez,Keeper,0.1287696122965109,0.2069511626193925,0.0413902325238785,0.032192403074127726,0.0979568836398458
Carlos Coronel,New York Red Bulls,6514,MLS,78.31,ccoronel,Keeper,0.8141988563162533,0.4031661003498356,0.8830320929613472,0.8771321012489106,0.7646389259317858
Carlos Dos Santos,San Diego Fc,1701119,MLS,78.31,csantos,Keeper,0.7315989723421407,0.021633302945600934,0.8810654290572018,0.875165437344765,0.6625690693066322
