team_id,team_name,team_short_name,team_abbreviation,competition
9jYQJ7ZMGR,Richmond Kickers,Richmond,RIC,usl1
e7Mz0LJqr0,Forward Madison FC,Madison,MAD,usl1
eVq3dWDQWO,Westchester SC,Westchester,WES,usl1
gOMna8JQwN,South Georgia Tormenta FC,Tormenta,TRM,usl1
gOMnd3eqwN,Union Omaha,Omaha,OMA,usl1
gOMnJxBMwN,Northern Colorado Hailstorm FC,Northern Colorado,NCO,usl1
gpMO1Pyqzy,New England Revolution II,New England,NER,usl1
jYQJw0PMGR,Portland Hearts of Pine,Portland,POR,usl1
kRQaW3L5KZ,Orlando City B,Orlando City,ORL,usl1
ljqE94Vqx0,North Texas SC,North Texas,NTX,usl1
N6MmGYWqEG,Greenville Triumph SC,Greenville,GVL,usl1
Oa5wbm8M14,Texoma FC,Texoma,TXO,usl1
odMX7pAQYL,Charlotte Independence,Charlotte,CLT,usl1
p6qb32XQ0G,Chattanooga Red Wolves SC,Chattanooga,CHA,usl1
vzqoeBpMap,Fort Lauderdale CF,Fort Lauderdale,FTL,usl1
vzqow0Bqap,Central Valley Fuego FC,Fuego,CV,usl1
vzqoxEZQap,AV Alta FC,Alta,AVA,usl1
wvq9J83QWn,Lexington SC,Lexington,LEX,usl1
Xj5Yy7y5bd,Lansing Ignite FC,Lansing,LAN,usl1
